#Average fold change data from ChIP-seq & RNA-seq across 3 growth stages (logarithmic phase, transition point, stationary phase) on minimal medium. From paper DOI: 10.1128/JB.00411-18 Supplemental file 4 https://jb.asm.org/highwire/filestream/299446/field_highwire_adjunct_files/3/JB.00411-18-sd004.xlsx#
TF	Gene	F_avg	F_sd	F_corrected	Regulation_direct	PS	PS_corrected	kd (units.mol/units.L)
"lrp"	"prpB"	0.08	1.36	NaN	1	-	-	-
"lrp"	"codB"	0.69	0.19	NaN	1	-	-	-
"lrp"	"cynR"	-0.96	0.69	NaN	-1	-	-	-
"lrp"	"cynT"	-0.56	0.08	NaN	-1	-	-	-
"lrp"	"lacZ"	0.36	0.47	NaN	1	-	-	-
"lrp"	"lacI"	0.34	0.12	NaN	1	-	-	-
"lrp"	"mhpA"	0.39	0.88	NaN	1	-	-	-
"lrp"	"mhpR"	0.46	0.32	NaN	1	-	-	-
"lrp"	"mhpT"	0.37	0.45	NaN	1	-	-	-
"lrp"	"frmB"	-0.26	0.51	NaN	-1	-	-	-
"lrp"	"yaiO"	0.40	0.34	NaN	1	-	-	-
"lrp"	"yaiP"	-0.16	0.55	NaN	-1	-	-	-
"lrp"	"yaiS"	0.23	0.00	NaN	1	-	-	-
"lrp"	"tauA"	0.12	0.39	NaN	1	-	-	-
"lrp"	"hemB"	0.03	0.15	NaN	1	-	-	-
"lrp"	"insEF-2"	0.21	0.34	NaN	1	-	-	-
"lrp"	"yaiV"	0.17	1.32	NaN	1	-	-	-
"lrp"	"ampH"	-0.01	0.33	NaN	-1	-	-	-
"lrp"	"sbmA"	0.23	0.63	NaN	1	-	-	-
"lrp"	"yaiZ"	0.51	0.34	NaN	1	-	-	-
"lrp"	"yaiY"	0.89	1.14	NaN	1	-	-	-
"lrp"	"iraP"	0.18	0.55	NaN	1	-	-	-
"lrp"	"phoA"	0.17	0.59	NaN	1	-	-	-
"lrp"	"dgcC"	-0.01	0.32	NaN	-1	-	-	-
"lrp"	"proC"	-0.13	0.42	NaN	-1	-	-	-
"lrp"	"yaiI"	0.18	0.64	NaN	1	-	-	-
"lrp"	"aroL"	-0.38	0.43	NaN	-1	-	-	-
"lrp"	"yaiA"	0.12	0.49	NaN	1	-	-	-
"lrp"	"aroM"	0.28	0.28	NaN	1	-	-	-
"lrp"	"yaiE"	0.20	0.39	NaN	1	-	-	-
"lrp"	"ykiA"	0.37	0.61	NaN	1	-	-	-
"lrp"	"mak"	0.51	0.40	NaN	1	-	-	-
"lrp"	"araJ"	-0.21	0.34	NaN	-1	-	-	-
"lrp"	"sbcC"	-0.54	0.68	NaN	-1	-	-	-
"lrp"	"sbcD"	-0.07	0.16	NaN	-1	-	-	-
"lrp"	"phoB"	0.42	0.14	NaN	1	-	-	-
"lrp"	"brnQ"	-0.55	0.77	NaN	-1	-	-	-
"lrp"	"malZ"	-0.15	0.22	NaN	-1	-	-	-
"lrp"	"queA"	-0.37	0.54	NaN	-1	-	-	-
"lrp"	"tgt"	-0.49	0.39	NaN	-1	-	-	-
"lrp"	"yajC"	-0.29	0.42	NaN	-1	-	-	-
"lrp"	"secF"	-0.35	0.47	NaN	-1	-	-	-
"lrp"	"yajD"	0.01	1.33	NaN	1	-	-	-
"lrp"	"tsx"	-0.55	1.35	NaN	-1	-	-	-
"lrp"	"nrdR"	0.32	0.34	NaN	1	-	-	-
"lrp"	"yajI"	0.47	0.86	NaN	1	-	-	-
"lrp"	"ribE"	-0.11	0.33	NaN	-1	-	-	-
"lrp"	"nusB"	-0.13	0.24	NaN	-1	-	-	-
"lrp"	"pgpA"	-0.24	0.37	NaN	-1	-	-	-
"lrp"	"yajO"	0.27	0.31	NaN	1	-	-	-
"lrp"	"xseB"	0.10	0.45	NaN	1	-	-	-
"lrp"	"thiI"	-0.15	0.60	NaN	-1	-	-	-
"lrp"	"yajL"	0.19	0.24	NaN	1	-	-	-
"lrp"	"panE"	0.29	0.32	NaN	1	-	-	-
"lrp"	"yajQ"	-0.08	0.31	NaN	-1	-	-	-
"lrp"	"yajR"	-0.12	0.26	NaN	-1	-	-	-
"lrp"	"cyoE"	-0.34	0.83	NaN	-1	-	-	-
"lrp"	"cyoD"	-0.20	0.65	NaN	-1	-	-	-
"lrp"	"cyoC"	-0.30	0.75	NaN	-1	-	-	-
"lrp"	"cyoA"	-0.11	0.20	NaN	-1	-	-	-
"lrp"	"ampG"	-1.24	0.85	NaN	-1	-	-	-
"lrp"	"yajG"	0.63	0.88	NaN	1	-	-	-
"lrp"	"bolA"	0.50	0.32	NaN	1	-	-	-
"lrp"	"tig"	-0.82	0.97	NaN	-1	-	-	-
"lrp"	"clpP"	0.42	0.45	NaN	1	-	-	-
"lrp"	"clpX"	0.25	0.38	NaN	1	-	-	-
"lrp"	"lon"	0.28	0.30	NaN	1	-	-	-
"lrp"	"hupB"	-0.29	0.38	NaN	-1	-	-	-
"lrp"	"ppiD"	-0.13	0.38	NaN	-1	-	-	-
"lrp"	"ybaV"	0.23	0.41	NaN	1	-	-	-
"lrp"	"fadM"	0.35	0.25	NaN	1	-	-	-
"lrp"	"cof"	0.19	0.56	NaN	1	-	-	-
"lrp"	"decR"	-0.23	0.46	NaN	-1	-	-	-
"lrp"	"glnK"	5.65	5.86	NaN	1	-	-	-
"lrp"	"tesB"	-0.20	0.20	NaN	-1	-	-	-
"lrp"	"ybaY"	-0.27	0.09	NaN	-1	-	-	-
"lrp"	"ffs"	0.66	0.37	NaN	1	-	-	-
"lrp"	"pdeB"	-0.04	0.51	NaN	-1	-	-	-
"lrp"	"ylaC"	-0.04	0.15	NaN	-1	-	-	-
"lrp"	"hha"	-0.42	0.62	NaN	-1	-	-	-
"lrp"	"tomB"	-0.02	0.49	NaN	-1	-	-	-
"lrp"	"acrB"	-0.40	0.63	NaN	-1	-	-	-
"lrp"	"acrA"	0.14	0.43	NaN	1	-	-	-
"lrp"	"acrR"	0.09	0.59	NaN	1	-	-	-
"lrp"	"mscK"	-0.65	0.23	NaN	-1	-	-	-
"lrp"	"ybaM"	0.47	0.79	NaN	1	-	-	-
"lrp"	"ybaN"	-0.06	0.68	NaN	-1	-	-	-
"lrp"	"apt"	-0.86	1.10	NaN	-1	-	-	-
"lrp"	"dnaX"	-0.37	0.26	NaN	-1	-	-	-
"lrp"	"ybaB"	-0.35	0.53	NaN	-1	-	-	-
"lrp"	"htpG"	0.48	0.31	NaN	1	-	-	-
"lrp"	"adk"	-0.56	0.30	NaN	-1	-	-	-
"lrp"	"hemH"	-0.21	0.49	NaN	-1	-	-	-
"lrp"	"aes"	0.49	0.76	NaN	1	-	-	-
"lrp"	"ybaL"	-0.17	0.91	NaN	-1	-	-	-
"lrp"	"fsr"	-0.29	0.46	NaN	-1	-	-	-
"lrp"	"ushA"	0.13	0.28	NaN	1	-	-	-
"lrp"	"chiX"	0.11	1.34	NaN	1	-	-	-
"lrp"	"ybaK"	-0.14	0.30	NaN	-1	-	-	-
"lrp"	"ybaP"	0.18	0.44	NaN	1	-	-	-
"lrp"	"ybaQ"	-0.03	0.14	NaN	-1	-	-	-
"lrp"	"copA"	-0.06	0.75	NaN	-1	-	-	-
"lrp"	"ybaS"	-0.01	0.74	NaN	-1	-	-	-
"lrp"	"cueR"	-0.03	0.61	NaN	-1	-	-	-
"lrp"	"ybbJ"	0.31	0.18	NaN	1	-	-	-
"lrp"	"qmcA"	0.36	0.13	NaN	1	-	-	-
"lrp"	"fetA"	-0.04	0.15	NaN	-1	-	-	-
"lrp"	"ybbN"	0.28	0.47	NaN	1	-	-	-
"lrp"	"ybbO"	-0.26	0.37	NaN	-1	-	-	-
"lrp"	"tesA"	-0.16	0.76	NaN	-1	-	-	-
"lrp"	"rhsD"	-0.27	0.26	NaN	-1	-	-	-
"lrp"	"selU"	-0.42	0.29	NaN	-1	-	-	-
"lrp"	"allS"	-0.08	0.46	NaN	-1	-	-	-
"lrp"	"allA"	-0.24	0.84	NaN	-1	-	-	-
"lrp"	"allR"	-0.04	0.27	NaN	-1	-	-	-
"lrp"	"gcl"	0.49	0.26	NaN	1	-	-	-
"lrp"	"ybbY"	-0.03	0.39	NaN	-1	-	-	-
"lrp"	"allE"	-0.31	0.30	NaN	-1	-	-	-
"lrp"	"allD"	-0.43	0.41	NaN	-1	-	-	-
"lrp"	"fdrA"	0.11	0.06	NaN	1	-	-	-
"lrp"	"purE"	-0.52	1.47	NaN	-1	-	-	-
"lrp"	"lpxH"	-0.60	0.33	NaN	-1	-	-	-
"lrp"	"ppiB"	0.14	0.54	NaN	1	-	-	-
"lrp"	"cysS"	0.00	0.18	NaN	-1	-	-	-
"lrp"	"ybcI"	0.46	0.34	NaN	1	-	-	-
"lrp"	"ybcJ"	-0.01	0.51	NaN	-1	-	-	-
"lrp"	"folD"	-0.09	0.22	NaN	-1	-	-	-
"lrp"	"sfmA"	-0.75	1.89	NaN	-1	-	-	-
"lrp"	"argU"	0.47	1.10	NaN	1	-	-	-
"lrp"	"fimZ"	0.02	1.02	NaN	1	-	-	-
"lrp"	"intD"	0.02	0.33	NaN	1	-	-	-
"lrp"	"ybcK"	-0.64	1.97	NaN	-1	-	-	-
"lrp"	"ybcL"	-0.45	0.21	NaN	-1	-	-	-
"lrp"	"ylcH"	-0.57	1.63	NaN	-1	-	-	-
"lrp"	"ybcQ"	-0.21	1.62	NaN	-1	-	-	-
"lrp"	"insH-2"	0.40	0.52	NaN	1	-	-	-
"lrp"	"nmpC"	-0.74	1.62	NaN	-1	-	-	-
"lrp"	"essD"	-0.22	0.81	NaN	-1	-	-	-
"lrp"	"borD"	0.72	0.15	NaN	1	-	-	-
"lrp"	"ybcW"	-0.39	0.51	NaN	-1	-	-	-
"lrp"	"appY"	0.25	0.69	NaN	1	-	-	-
"lrp"	"ompT"	3.42	0.33	NaN	1	-	-	-
"lrp"	"ybcH"	-0.13	0.15	NaN	-1	-	-	-
"lrp"	"cusR"	0.10	0.31	NaN	1	-	-	-
"lrp"	"cusC"	-0.48	0.41	NaN	-1	-	-	-
"lrp"	"cusF"	-0.04	0.26	NaN	-1	-	-	-
"lrp"	"cusB"	0.15	0.73	NaN	1	-	-	-
"lrp"	"pheP"	-0.17	0.21	NaN	-1	-	-	-
"lrp"	"ybdG"	-0.40	0.32	NaN	-1	-	-	-
"lrp"	"nfsB"	-0.27	0.11	NaN	-1	-	-	-
"lrp"	"ybdF"	0.11	0.64	NaN	1	-	-	-
"lrp"	"ybdJ"	0.31	0.41	NaN	1	-	-	-
